,player,span,Mat,Inns,Balls,Mdns,Runs,Wickets,Avg,SR,ecnomy,BBI,5,10,ST,CT,Country
121,Samiullah Shinwari,2015-2015,6,5,103,-,102,-,-,-,5.94,-,-,-,-,2,Afghanistan
122,DJG Sammy,2015-2015,7,6,168,-,172,1,172.00,168.0,6.14,1/47,-,-,-,1,West Indies
123,MN Samuels,2015-2015,7,6,211,4,177,3,59.00,70.3,5.03,1/25,-,-,-,2,West Indies
124,KC Sangakkara,2015-2015,7,-,0,-,-,-,-,-,-,-,-,-,3,5,Sri Lanka
125,Saqlain Haider,2015-2015,1,-,0,-,-,-,-,-,-,-,-,-,-,1,United Arab Emirates
126,Sarfaraz Ahmed,2015-2015,3,-,0,-,-,-,-,-,-,-,-,-,-,6,Pakistan
127,SMSM Senanayake,2015-2015,1,1,54,-,59,-,-,-,6.55,-,-,-,-,-,Sri Lanka
128,Shafiqullah,2015-2015,1,-,0,-,-,-,-,-,-,-,-,-,-,-,Afghanistan
129,Shahid Afridi,2015-2015,7,7,342,2,282,2,141.00,171.0,4.94,2/35,-,-,-,3,Pakistan
130,Shaiman Anwar,2015-2015,6,1,4,-,4,-,-,-,6.00,-,-,-,-,1,United Arab Emirates
131,Shapoor Zadran,2015-2015,6,6,306,5,265,10,26.50,30.6,5.19,4/38,-,-,-,-,Afghanistan
132,Shakib Al Hasan,2015-2015,6,6,346,1,298,8,37.25,43.2,5.16,4/55,-,-,-,2,Bangladesh
133,Sikandar Raza,2015-2015,6,6,240,1,197,2,98.50,120.0,4.92,1/34,-,-,-,2,Zimbabwe
134,LMP Simmons,2015-2015,7,1,6,-,12,-,-,-,12.00,-,-,-,-,2,West Indies
135,DR Smith,2015-2015,6,2,42,-,27,1,27.00,42.0,3.85,1/22,-,-,-,3,West Indies
136,Sohaib Maqsood,2015-2015,7,2,36,-,24,1,24.00,36.0,4.00,1/16,-,-,-,2,Pakistan
137,Sohail Khan,2015-2015,7,7,371,3,364,12,30.33,30.9,5.88,5/55,1,-,-,2,Pakistan
138,MC Sorensen,2015-2015,3,3,144,-,200,3,66.66,48.0,8.33,2/60,-,-,-,1,Ireland
